järjestys,id,slides,etape,placename fi,placename en,time en,narrator,receiver,narratortxt fi,narratortxt en,fulltext fi,konekäännös,fulltext en,txtlength,source,page,fileid,imagefilename,tech-temp,folder,technique,imagecreator en,kuvan nimi tai kuvateksti fi,image title or caption en,imageyear,collection en,imgorigurl,photographer en,license
52,52,,trip,,Voi,25 December 1909,akseli,,Akseli kertoo kirjassaan,,"Jouluaamuna olimme metsästämässä lähellä Voita. Olimme kävelleet jo kauan tapaamatta mitään, mutta jatkoimme kulkua jonkin matkan päässä toisistamme.
Samassa näin edessäni noin sadanviidenkymmenen metrin päässä ikäänkuin kummun, jota luulin termiittikeoksi, jollaisia olimme paljon tavanneet. Mutta kun otin kiikarin, näytti kumpu oudolta ja liikkuvalta. Samassa kuulin pamahduksen. Kumpu hajosi ja kaksi komeata leijonaa tuli laukaten minua kohti. Kantajani huusi “Simba! Simbal” ja heitti kiväärin minulle. Ammuin laukauksen kumpaakin leijonaa kohti – ne olivat koiras ja naaras – mutta molemmat laukaukseni menivät ohi, koskapa leijonat jatkoivat laukkaansa.
Leijonat loikkivat suhisten viistoon ohitseni. Harmissani olisin kaikin mokomin tahtonut jatkaa takaa-ajoa, mutta mr Heyer kiiruhti jälkeeni sanoen: “Mitä hullutuksia, ne ovat jo monen mailin päässä.”","On Christmas morning we were out hunting near the Win. We had walked for a long time without seeing anything, but we continued to flow at some distance from each other.
In the same I saw in front of about one hundred and fifty meters away, as if knoll, which I thought termite mound, of a kind we were met with a lot. But when I took the binoculars, looked strange mound and mobile. In the same I heard the blast. Hillock broke down and two komeata lion came galloping towards me. Stock Jani shouted ""Simba! Simbal ""and threw the rifle to me. I fired a shot toward the two lions - they were a male and a female - but both shots went wide, seeing the lions continued to gallop her.
Lions leopards suhisten diagonally past me. I would be annoyed by all means wanted to continue pursuit, but Mr. Heyer hurried after me saying, ""What follies, they are already many miles away.""",,862,afrikka,96,gkm207,gkm207.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Leijona loikkaa,Lions leap,1909‒1910,Gallen-Kallela Museum,,Douglas Sivén,
53,53,,safari,Ukamba,"Brickhouse, Nairobi",25 March 1910,kirsti,,Kirsti päiväkirjassaan,,"Olemme asuneet täällä jo 10 kuukautta ja istumme vielä vaan samassa talossamme ja varromme kameleja Murangasta, jonne meidän tavaramme jo viikko sitten kuljetettiin samoilla elukoilla.","We have lived here for 10 months and yet we sit in our house and in the same varromme camels Muranga, where our luggage was transported as early as a week ago with the same elukoilla.",,184,tropiiikki,303,IX 067,,drawing / back & white photo,,,Akseli Gallen-Kallela,Kirstin ja Äidin kanssa piirretty illalla tyhjässä “Brikhausissa” – saatuamme kakki tavaramme Boma Trading Co:niin ja Heyeriin lähetetyiksi. Nyt kuuluu Muhamettikirkosta Kumpan ääni ja naisten kisa-kiljunta tieltä. Täällä ei päivät pitene talvea odottaen.,,,Private collection,,,
,87,,safari,,,,,,Kirsti kertoo päiväkirjassaan,,"29 päivänä maaliskuuta lähdimme kotoa kello 4 ip. Tavarat pantiin kamelivaunuun ja me kävelimme. Illalla tultiin ensimmäiseen leiriin, jossa jo koko joukko kikujuja istui piirissä tulien ympärillä. Sen joen nimi oli Ruiruakka. Toisena päivänä mentiin taas ja tultiin toiseen leiriin joen rannalla, jonka nimi oli Ruiru. Ja nyt ollaan kolmannessa, tänne tultiin eilen, mutta täällä on niin kaunista, että ollaan vielä tämäkin päivä. Isä aikoo maalata suuria vesiputouksia ja palmuja, jotka ovat kovin suuria, ja kaikenlaisia kaktuksia. Leirimme on niemellä, kahden joen välissä. Toinen joki on Tchanja ja toinen on Thika. Isä ja Äiti jäivät Thiririkaan maalaamaan ja me menimme eteenpäin Kamauen kanssa ja näimme villin strutsin noin 30 metrin päässä. Varroimme Isää ja Aitiä ja kun he tulivat, niin mentiin luolaan, jossa enemmän kuin sata kikujua oli ollut piilossa massailta ja eurooppalaisilta. Siinä oli suuri reikä katossa, josta kirkas valo puiden välistä paistoi sisään, ja suuren aukon edessä oli paljon puita, ettei kukaan tietämättä olisi löytänyt sinne.","On 29 March we left home at 4 pm. Goods were placed in a camel caravan and we walked. In the evening we came to the first camp, where already a whole bunch of Kikuyu sat around the fires within. The river's name was Ruiruakka. On the second day we went again, and came to the camp to another river, whose name was Ruiru. And now we are in the third, we came in here yesterday, but here is so beautiful that we are still even this day. Father is going to paint large waterfalls and palm trees, which are very large, and all kinds of cacti. Our camp is on a peninsula between two rivers. Another river is Tchanja and the other is in Thika. Father and Mother were Thiririkaan to paint and we went ahead with the Kamauen and we saw a wild ostrich about 30 meters away. Varroimme father and mother, and when they came, so we went into the cave, where more than a hundred Kikuyu had been hidden in mass and Europeans. It was a big hole in the roof, from which a bright light shining in between the trees, and in front of the large opening had a lot of trees, knowing that no one would be found there.",,1064,tropiikki,,,,,,,,,,,,,,
54,54,,safari,,Fort Hall Road,29 March 1910,kirsti,,Kirsti kertoo kirjassaan,,"Kantajille annettiin suuret, käsintaotut kuparikattilat, joita he kantoivat päässään kuin hattuja. Ja niin lähdettiin laulellen matkaan.","The applicants were given large, hand-forged copper kettles, which they carried his head as hats. And so we left Singing journey.",,136,tropiikki,314,GKM_VV_4158,GKM_VV_4158_1.png,photograph,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,#N/A,
55,55,,kahara,,"Kiharu, Murang'a",2 April 1910,kirsti,,Kirsti kertoo kirjassaan,,"Iltapäivällä tulimme laaksoon, jossa virtasi Masioja-niminen joki. Sen toisella puolella kohosi korkea vuori ja isä päätti, että asettaisimme leirimme sille.","In the afternoon, we came to the valley, where flowed Masioja-named river. On the other side rose to a high mountain and father decided, of setting our camp on it.",,157,tropiikki,314,gkm197,gkm197.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Masioja-virran koski (Morgana  IV.),,1910,Private collection,,Douglas Sivén,
56,88,,,,,,,,,,,#VALUE!,,,,,GKM_VV_4066,GKM_VV_4066_1.png,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
57,56,,kahara,,"Kiharu, Murang'a",,kirsti,,Kirsti kertoo kirjassaan,,"Nousu oli vaivalloista euforbioiden ja kivilohkareiden välissä, mutta saavuttuamme melkein vuoren korkeimmalle kohdalle korvasi se näky, mikä avautui eteemme kaikki vaivat: allamme oli valtava laakso, joka peninkulmittain ikään kuin lainehti etäisyyteen muodostuen laajaksi tasangoksi. Idässä sitä rajoittivat sinertävät vuorijonot ja pohjoisessa seisoi mahtava Kenia-vuori pilvenhattarat kupeellaan. Oli juhlatunnelma, kun se joskus suvaitsi näyttäytyä koko komeudessaan lumipeitteisine, jyrkkine huippuineen.","The increase was a hassle between euforbioiden and boulders, but we arrived almost at the highest point of the mountain replaced the sight, which was opened in front of us all the problems: below us was a huge valley which peninkulmittain as if the highlands of the distance, consisting of wide plain. In the east it limited the bluish mountain ranges and the north stood the mighty Mount Kenya fleecy clouds his thigh. There was a party atmosphere, as it sometimes deigned to show itself in all its splendor of snow-capped, steep peaks.",,510,tropiikki,314,gkm113,gkm113.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Euforbia-puita,,1909‒1910,Private collection,,Douglas Sivén,
58,57,,kahara,,"Kiharu, Murang'a",1909,akseli,,Akseli kertoo kirjassaan,,"Niillä mailla ja niissä kohtaloissa oli helppo tuntea itsensä kuin irtireväistyksi kaikista tottumuksista ja velvollisuuksista. Ei ollut taloudellista huolta entisten velkojen takia, ei vekselien lankeamisen kammoisaa odotusta, ei ystävä- ja tuttavapiirin vaatimusten täyttämistä, ei poliittisten olojen suremista, ei itse ottamien isänmaallisten kantamusten painoa, ei turhien satunnaisten tapahtumien pelkoa. Eurooppa, kuluneena ja uponneena taitojensa ja tietojensa homehtuneeseen, kuolleeseen mereen pienten turhamaisten velvollisuuksien pakkokuolaimiin kiinnitettynä, rakas, vanha ja kodikas Eurooppa häämötteli edessäni kuin unohdettu hauta, johon valju ja kylmä aurinko luo haaleata valoansa.","Those countries and had an easy fate to feel like irtireväistyksi all the habits and duties. There was an economic concern because the former debt, no bills downfall kammoisaa expectation, not friends and acquaintances to meet the requirements, no political conditions grieving, not self-patriotic kantamusten ottamien weight, not unnecessary fear of random events. Europe, immersed in the past and rotting, dead into the sea pakkokuolaimiin small turhamaisten obligations skills and knowledge attached to it, my dear, old and cozy European häämötteli in front of me like a forgotten tomb, in which pale and cold sun had faded her light.",,699,afrikka,150,GKM_VV_4169,GKM_VV_4169_1.png,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
59,58,,kahara,,"Kiharu, Murang'a",,kirsti,,Kirsti kertoo kirjassaan,,"Telttamme oli asetettu niin, että isän ja äidin teltasta saattoi nähdä meidän oviaukkomme, sillä eihän voinut tietää, milloin leijona tai joku muu eläin tekisi sinne vierailun. Kuulimme kerrottavan eräästä englantilaisesta tienrakentajasta, joka oli niin pitkä, että hänen jalkansa jäivät teltan ulkopuolelle hänen nukkuessaan. Leijona oli tullut yöllä ja napannut jalat suuhunsa, ennen kuin mies ehti edes ylös sängystään.","Our tent was set up so that the father and mother of the tent we could see the doorway, because no could know when a lion or some other animal would make a visit there. We heard the news about an Englishman tienrakentajasta, which was so long that his feet were outside the tent while he slept. The lion had come at night and snatched feet in their mouths, before the man could even up the sängystään.",,423,tropiiki,318,gkm199,gkm199.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Kenia-vuori (Morgana  IV.),,1910,Private collection,,Douglas Sivén,
60,59,,kahara,,"Kiharu, Murang'a",,kirsti,,Kirsti kertoo kirjassaan,,"Eräänä yönä karjuikin leijona ihan nurkillamme, vaikka telttojen päädyssä aina paloi myrskylyhty sen pelottamiseksi. Aamulla löysimme sen jäljet maasta, molempien telttojen välistä.","One night a lion roared just nurkillamme, even if the end is always the tents burned down a storm lantern to scare it. In the morning, we found traces of it from the ground, between the two tents.",,181,tropiikki,318,GKM_VV_4031,GKM_VV_4031_1.png,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
61,60,,kahara,,"Kiharu, Murang'a",May 1910,mary,,Mary kirjoittaa päiväkirjassaan,Mary writes in her diary,"Joskus saimme kävellä liiankin pitkälti, sillä maasto oli mäkistä, mutta nukuimme hyvin, kaikki paitsi minä, sillä olin levoton lasten takia. Ja niin pian kun villieläimet alkoivat karjua, heräsin, ja pitkään en ole nukkunut moneen kuukauteen. Mutta ihanaa oli koskien partaalla palmujen varjossa, jossa saatoin istua päivät pitkät uneksimassa. En koskaan olisi luullut, että tulisin niin onnelliseksi.","Sometimes we had to walk too far, because the terrain was hilly, but we slept well, all except me, because I was apprehensive because of the children. And as soon as the wildlife began to roar, I woke up, and for a long time I have not slept for several months. But love had with respect to the brink of the shade of the palm trees, where I could sit all day long to dream. I never would have thought that I would so happy.",,402,tropiikki,317,GKM_VV_4020,GKM_VV_4020_1.png,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
62,61,,kahara,,"Kiharu, Murang'a",,kirsti,,Kirsti kertoo kirjassaan,,"Eräänä iltana jo pimeän laskeuduttua äiti etsi jotain laatikosta; yhtäkkiä hän huudahti, vetäisi kätensä pois ja sanoi saaneensa tikun sormeensa. Isä ei löytänyt minkäänlaista tikkua tai edes haavaa, vaikka suurennuslasilla sitä etsi. Äiti vaikeroi yhä ja lopulta hän oli menettää tajuntansa. Silloin isä ymmärsi, että skorpioni oli äitiä pistänyt, ja kiersi kiireesti nahkahihnan käsivarren ympäri. Kun tuskat vain yltyivät ja sydän tuntui jo heikkenevän, isä kiersi toisen hihnan korkeammalle ja asetti kiväärinpanoksia hihnan väliin, sillä myrkky oli jo nousemassa sydämeen, sattuihan pistos olemaan vasemmassa kädessä. Koko yön äitiä koetettiin pitää hereillä väkevällä kahvilla ja konjakkiannoksilla, sillä hän vaipui yhtämittaa uneen ja sitä ei saanut tapahtua. Mutta kolmen päivän perästä olivat tuskat helittäneet.","One evening, already after dark mother search for something from the box; he suddenly exclaimed, pulled his hand away and said he had received his finger stick. Father could not find any match or even a wound, even a magnifying glass to search for it. Mother groaned more and finally he was losing consciousness. So the father knew that the scorpion had stung the mother, and toured a matter of urgency around the leather strap arm. When the pains grew only more intense and heart felt already in decline, the father went around a second belt to a higher and put the rifle between the inputs of the belt, because the poison was already becoming the heart, the injection did hurt to be in the left hand. All night the mother Attempts were made to keep awake with concentrated doses of coffee and cognac, as he fell into a single measure of sleep and it can not have happened. But after three days the pains were helittäneet.",,822,tropiikki,318,web04,web04.jpeg,watercolour,Kuvat,watercolour,Akseli Gallen-Kallela,,Brush Fire on the Savannah,1910,Private collection,http://www.the-athenaeum.org/art/detail.php?ID=57666,,
63,62,,kahara,,"Kiharu, Murang'a",,kirsti,,Kirsti kertoo kirjassaan,,"Eilen näimme suuren safarin, joka pystytti leirinsä vastapäätä meitä vuorille, ja kun se tuli mäen takaa, niin se ei koskaan tahtonut loppua, siellä oli seitsemän Msungua – valkoihoista – ja suuri valkoinen ruokateltta. Ja kun he klo 6 aamulla menivät, niin minä laskin heidät ja heitä oli lähes 400 kantajaa ja sitten vielä 10 boy'ta ja kokkeja ja muita palvelijoita. Ehkä se oli ”The King of American” safari, kuten Muanika sanoi; Yhdysvaltain presidentin Theodore Rooseveltin retkikunta.","Yesterday we saw the great safari, which set up camp across from us in the mountains, and when it came to the hill behind, so it never would end, there were seven Msungua - Caucasian - and a large white dining tent. And when they went at 6 am in the morning, then I will counter them and they were about 400 applicants and then a further 10 boy'ta and cooks and other servants. Maybe it was the ""The King of American"" safari, such as Muanika said; US President Theodore Rooseveltin expedition.",,490,,,web05,web05.jpeg,watercolour,Kuvat,watercolour,Akseli Gallen-Kallela,,Campfires of Theodore Roosevelt's Safari,1909,Private collection,http://www.the-athenaeum.org/art/detail.php?ID=57655,,
64,63,,kahara,,"Kiharu, Murang'a",April 1910,akseli,,Akseli kertoo kirjassaan,,"Alhaalta laaksosta sinkoilevat tulikärpäset lähelle liekkiä huimasti suristen ja räiskien, sirkat sirisevät yhtyen sammakoitten kurnutukseen ja tropiikin koko yöeläimistön soittajaisiin, tähdet tuikkivat, ja koillisessa valaisee taivaanrantaa outo kajo. Mikä sieltä vuoren takaa vähitellen nousee kaarellensa? Mikä outo ilmiö on tapahtumassa? Olemme päiviä ja öitä odottaneet Halleyn pyrstötähteä, ja nyt, nyt huutaa kokki suurella äänellä: “Allah, Allah, Allah!” ja toiset päästävät huudahduksia: “ah, ah, ah!” joissa kuvastuu ihmettelyä, pelkoa ja kauhistusta. Siinä on itse Halleyn pyrstötähti kaikessa komeudessaan, vaikka vielä hyvin matalalla nähtävissä. Kuin alaspäin käännettynä soihtuna se näyttää syöksyvän kipunasateessa yli vuorten. Eipä tarvita parempaa temppeliä meidän yksinkertaiseen jumalanpalvelukseemme. Ehkäpä tällainen näky on hyvinkin tavallinen kaukana kosmoksen tarhoissa, mutta meille maan matosille se on harvinaista ja mieltäkohottavaa ja ajatuksia syventävää nähtävää. Ei voi olla muuta kuin nöyrä ja kiitollinen saatuaan nähdä tällaista rikkautta omalta kiertotähdeltämme.","The bottom-fly from the valley came the flies close to the flame soared droning and räiskien, a whirring of crickets, joining the Frogs kurnutukseen and throughout the tropics yöeläimistön the caller, the stars twinkling, and illuminates the north-eastern horizon a strange glow. What then gradually rises from behind the mountain kaarellensa? What strange phenomenon is happening? We are waiting for days and nights of Halley's comet, and now, now chef yelling in a loud voice: ""Allah, Allah, Allah!"" And others emit shouts: ""ah, ah, ah!"" Which reflects the wonder, fear and horror. It is self Halley's comet in all its splendor, though still at a very low visible. Than facing downwards torch it seems to rush kipunasateessa over the mountains. Let's not needed better on a simple house of our worship. Perhaps such a vision is very far from ordinary in the vineyards of the cosmos, but for us the carpet for it is rare and mieltäkohottavaa ideas and advanced amenities. There can be no more than a humble and grateful to see such wealth after their own kiertotähdeltämme.",,1101,afrikka,150,eph11,,webphoto,Kuvat,,,,,,,,,
65,64,,kahara,,"Kiharu, Murang'a",20 May 1910,mary,,Maryn päiväkirjassa on merkintä,A note in Mary's diary tells,"Meidän hääpäivämme 1890–1910
Kaksikymmentä vuotta naimisissa. Axel tarjosi pullon hyvää viiniä ja taivas tarjosi kirkkautta ja Halleyn komeetan kaikessa loistossaan.","Our anniversary 1890-1910
Twenty years of marriage. Axel offered a bottle of good wine and the sky brightness and offered Halley's comet in all its glory.",,165,muistelmat,57,gkm129,gkm129.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,"Kenia, 20.5.1910 Äidin ja Isän 21nä hääpäivänä","Mount Kenya 20.V 1910, Mother and Father's 21st Wedding Anniversary",1910,Private collection,,Douglas Sivén,
66,65,,kahara,,"Kiharu, Murang'a",,kirsti,,Kirsti kertoo kirjassaan,,"Samalta päivältä on päiväkirjassani merkintä: 
”Minä Opetan Muanikaa lukemaan ja hän istuu teltassaan ja hokee: ”ei, bii, cii”. Tänään vietettiin Isän ja Äidin häitä, en tiedä jos ne olivat kuparihäät tai rautahäät, mutta ne olivat 20-vuotiset...","The same date is the day my book entry:
""I Muanikaa I teach to read, and he sits in his tent, and stammers:"" No, bii, cii "". Today we celebrated Father and Mother's wedding, I do not know if they were copper or iron wedding wedding, but they were 20-year ...",,246,muistelmat,57,GKM_VV_4026,GKM_VV_4026_1.png,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
67,66,,kahara,,"Kiharu, Murang'a",May 1910,akseli,,Akseli kertoo kirjassaan,,"Olimme löytäneet litteähäntäisen oravan poikia, pienempiä kuin pienet hiiret, ja niitä Jorma piti pumpulissa sikarilaatikossa. Mutta eräänä päivänä oli hänen rakas mungonsa sattunut kävelemään sikarilaatikon ympärillä. Se keksi oravanpoikaset ja söi ne suuhunsa. Jorma otti pienen ruo'on ja rankaisi sillä leikkitoveriaan. Seuraus oli, että mungo heti juoksi metsään eikä enää koskaan palannut leiriin. Monien kyynelien ja surunpäivien aika koitti nyt nuorelle eläintenkesyttäjälle. Mungo (Ugandan kielellä Nakaima, kikuijuksi: Kaiho, jolle Jorma oli antanut nimen Rali-Rali – paikalliset sanoivat Ladi) oli seurannut meitä jo Nairobista, missä sitä oli kesytetty ensin huoneissa ja sitten ulkosalla.","We had found the boys litteähäntäisen squirrel, smaller than the small mice, and they had to Jorma cotton wool cigar box. But one day there was his beloved mungonsa hurt to walk around the cigar box. It came up with the rat pups and ate them in their mouths. Jorma took a small reed, and smote the play-mate. The consequence was that the mongoose immediately ran into the forest and never returned to the camp. Many tears and mourning days, the time now approached the young wild animals. Mungo (Ugandan language Nakaima, kikuijuksi: Kaiho, which was given the name Jorma-Rali Rali - locals said Ladi) had followed us in Nairobi, where it was first domesticated rooms and then outdoors.",,700,afrikka,156,D-DEP-Haukka,D-DEP-Haukka.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Haukka,Falck,1909,Private collection,,Jukka Paavola,
68,67,,impalla,,Tana River,,kirsti,,Kirsti kertoo kirjassaan,,"Ostimme 25 centillä villin, elävän helmikanan, joka pantiin kanakoriin. Sen möi eräs vanha ukko, joka on ollut kuolemaisillaan: kolme päivää maannut arolla ja taas ruvennut elämään ja kutsuu itseään nyt ‘Uangaiksi’, joka merkitsee ‘Jumala’ kikujun kielellä. Hänen äänensä on kovin paksu ja kova ja hän sanoo voittavansa kaikki muut kikujut.","We bought 25 CENTS the wild, living guinea fowl, which was channeled into the basket. It sold an old man who has been near death: three days lying plains and begun to live again, and now calls himself 'Uangaiksi', which means 'God' Kikuyu language. His voice is very thick and hard, and he says to win all the other Kikuyu.",,340,tropiikki,316,GKM_VV_4153,,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
69,68,,impalla,,Tana River,June 1910,akseli,,Akseli kertoo kirjassaan,,"Luoksemme saapui kikuiju kantaen antiloopin vasikkaa sylissään. Mies tuli etsimään meiltä turvaa, sillä hänen kuninkaansa oli pieksättänyt häntä tahtoessaan omakseen antiloopin vasikan, jonka mies oli sattunut löytämään. Mies halusi myydä sen meille. Hän kertoi olevansa N'gai, mikä kikuijun kielellä merkitsee jumaluutta tai henkeä. Hän puhui niin syvällä äänellä, että jo siitä saattoi päätellä hänessä olevan jotakin erikoista. Hänen puheensa tuli kuin haudan takaa, ja kun kysyin, miksi hänen äänensä oli niin matala, hän vastasi, että hänet oli kerran viety arolle kuolemaan. Sinne tuli shakaaleja ja hyeenoja, ja juuri kun hän muka oli kuollut, hän heräsi takaisin elämään, taisteli henkensä hädässä haaskapetoja vastaan, selviytyi voittajana ja palasi leiriin. Ja nyt hän sai nimen N'gai, joka merkitsee, että hän oli ollut vainajana. Kun kysyin, minkälaista oli ollut kuolleena olo, hän vastasi, että se oli ollut paljon parempaa ja hauskempaa kuin eläminen.","Kikuiju us arrived, carrying an antelope calf in his arms. A man came to seek protection from us, because the king had pieksättänyt him at will as their own antelope calf which he had happened to find. The man wanted to sell it to us. He said he was N'gai, which kikuijun tongue is the deity or spirit. He spoke so deep voice, that already it could be inferred to be something special in him. His speech came as behind the tomb, and when I asked why his voice was so low, he replied that he had once been exported to the plains of death. There came jackals and hyenas, and just when he supposedly was dead, he woke up back to life, fought for their lives against haaskapetoja in distress, came off victorious, and returned to the camp. And now he was given the name N'gai, which means that he had been dead. When I asked what kind of feeling had been dead, he replied that it had been a much better and more fun than living.",,966,afrikka,168,gkm120,gkm120.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Pääkallo arolla,,1909‒1910,Private collection,,Douglas Sivén,
70,69,,impalla,,Tana River,June 1910,akseli,,Akseli kertoo kirjassaan,,"Illalla myöhään vallitsi ihmeellinen sää. Hetkittäin oli mitä ihanin kuutamo, joka äkkiä tuulenpuuskain tuodessa pilviä synkkeni pikimustaksi pimeydeksi. Kun tiesimme, että Tana-virrassa oli virtahepoja, päätin mennä sinne ja ottaa lapset mukaan, koska he olivat niin hartaasti halunneet nähdä noita eläimiä. Saavuimme korkean ruohon läpi rannalle, kiipesimme törmälle ja koetimme tähystellä pilkkopimeässä joelle. Kaste oli laskeutunut ja olimme aivan läpimärkiä. Oli kuljettava virtahepojen polkua. Emme nähneet mitään, mutta kuulimme virtahepojen kumeaa hirnuntaa ja valtavaa vedenläiskettä. Jalkeenpain mr Heyer sanoi, että tämä retki oli ollut anteeksiantamatonta uhkarohkeutta.","In the evening, late, there was the wonderful weather. At times it was the most wonderful moonlight, which suddenly a gust of wind when bringing clouds darkened black as pitch darkness. When we knew that Tana was a stream of hippos, I decided to go there and to involve children, because they were so earnestly desired to see those animals. We arrived through the high grass to the beach, we climbed the riverbank and we tried to watch for in the twilight of the river. Dew had landed and we were completely drenched. It was carrying hippos path. We did not see anything, but we heard hippos and huge kumeaa hirnuntaa vedenläiskettä. Afterwards Mr. Heyer said that this trip was inexcusable foolhardiness.",,683,afrikka,173,gkm128,gkm128.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Masioja-virran koski,seven forks,1909‒1910,Private collection,,Douglas Sivén,
71,89,,impalla,,,1910,akseli,,Akseli kertoo kirjassaan,,"Filmit olivat loppuneet koneesta, ja silloin avasin Lontoosta postitse lähetetyn paketin, joka oli saapunut Kahara-vuorelle. Olin avannut ensi kääröt, kun yht'äkkiä säpsähdin tuntiessani mitä hirveintä tuskaa sormessani. Se tuntui ainakin yhtä kipeältä, kuin jos olisi yhtä mittaa kiskottu hammasta suusta. Ja sitten heti tuli esiin skorpioni, ilkeä keltainen, parin tuuman mittainen pirulainen, joka oli iskun antanut. Se surmattiin ja Jorma pisti sen spriipulloon.
Ajattelin parantaa tätä samalla tavalla, jolla olin parantanut vaimoltani skorpionin piston Kahara-vuorella. Otin siis whiskypullon esiin ja rupesin sitä hyvällä omallatunnolla ja nopeassa tahdissa tyhjentämään lasi lasilta. Kylmä hiki valui otsaltani, mutta whisky ei vaikuttanut minuun vähääkään, vaikka join sitä miltei enemmän yhdellä siemauksella kuin olin koskaan ennen kokonaisen illan kuluessa hyvässä seurassa nauttinut. Pysyin selvänä ja tuskat yltyivät, niin että lopulta jouduin kummalliseen raivotilaan. Aloin kiroilla kauheasti ja pyysin sitä omaisiltani anteeksi, mutta muuta en voinut. Lopulta hämärän laskeutuessa, kun pullo oli miltei tyhjä, nousi tuska niin kovaksi, että minun täytyi päästä johonkin kauas sitä purkamaan. Otin kiväärin mukaani ja juoksin kuin mielipuoli metsään.","The films were left in the machine, and then opened London mail transmitted packet, which was received at kinky mountain. I opened the first scrolls when suddenly waving about what to feel an Ever more frightful pain on my finger. It seemed at least as uncomfortable, as if one would measure extorted from the tooth from the mouth. And then immediately came forth scorpion, nasty yellow, a pair of inch-long devil, who was given a shock. It was killed and Jorma thrust it spriipulloon.
I was thinking to improve this in the same way that I had improved my wife a scorpion sting kinky-mountain. So I took whiskypullon out and I started it with a clear conscience and a fast pace to clear the glass from the glass. Cold sweat was pouring from my brow, but the whiskey did not affect me one bit, even if I drank it at one draft almost more than I had ever before during the whole evening in good company enjoyed. I stayed for granted, and the pains got excited, so that in the end I had a strange rage mode. I began to swear terribly, and I asked it omaisiltani forgive me, but I could not change. In the end, dusk, when the bottle was almost empty, increased pain so severe that I had to get to a far dismantle it. I took my rifle with me and I ran like a madman into the woods.",,1266,afrikka,189,IX 075,,drawing / back & white photo,,,Akseli Gallen-Kallela,,,,Private collection,,,
72,70,,faru,,Tana River,,kirsti,,Kirsti kertoo kirjassaan,,"Kun sarvikuono suuntasi kulkunsa meitä kohti tullen alamäkeä kuin puhkuva veturi, kaikki kikujut hävisivät suuren puun latvaan, jonka alla olimme istuneet. Jorma oli isän kielloista huolimatta hiipinyt hänen ja kiväärinkantajan perässä, äiti ja minä olimme yksin puun alla. Puussa oli oksat ainoastaan latvassa, mutta sen rungossa oli 20 cm:n pituiset piikit, joita myöten miehet kapusivat ylös. Äiti ja minä emme olisi voineet tällaisia temppuja tehdä – – – Seisoimme odottaen ja katsellen kuinka villiintynyt peto tömisti meitä kohti. Kaikki meni niin pian, ettemme ehtineet kääntyäkään, ennen kuin isä kaatoi sen noin 30 metrin päähän meistä, jolloin se ensimmäisestä laukauksesta kellahti ympäri.
Ampumaluvan sai ainoastaan neljää sarvikuonoa varten, mutta itsepuolustukseksi täytyi tietenkin ampua yli sen määrän, jos oli pakko, ja tämä oli isän viides sarvikuono.","When the rhino and headed off towards us becoming like downhill puhkuva locomotive, all Kikuyu disappeared from the top of a large tree under which we had been sitting. Jorma was in spite of the father's prohibitions crept into his rifle and followed by the applicant, her mother and I were alone under a tree. The tree was the only treetop branches, but its body was 20 cm long spines, which are right down to the men scrambled up. Mother and I could not have done such tricks - - - We stood waiting and watching how a feral beast stomp towards us. Everything went so quickly, we had time to turn before the father poured it about 30 feet from us, when it was first shot around the keel.
The license for the firearms received only four rhinos, but in self-defense, of course, had to shoot over the amount, if you had to, and that was the father's fifth rhino.",,869,tropiikki,329,GKM_VV_4059,,photograph,Kuvat,photograph,,,,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
73,71,,faru,,Tana River,,,,,,python-tarina,python,,13,,,gkm131,gkm131.tif,oil,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Puun juurakko,,1909‒1910,Private collection,,Douglas Sivén,
